A,,,,,
activeAction,-,-,activeAction,Executed on a client’s first frame of active play to allow scripting a timedemo to start right after loading.,
appendlogfile,-,0,"appendlogfile [0|1]
0 = disabled
1 = enabled",Appends log file writing.,
arch,-,your OS,arch,Displays the OS architecture.,
armor_tiered,-,0,"armor_tiered [0|1]

0 = disabled
1 = QW-inspired","Enables Quake-inspired tiered armor rules in the server. More details HYPERLINK(http://www.quakelive.com/forum/showthread.php?21741-PQL-How-does-it-work&p=188810&viewfull=1#post188810, HERE).

",
B,,,,,
bot_aasoptimize,-,0,bot_aasoptimize [0|1],"Optimizes the bot intelligence, if possible on the specific map.",
bot_breakPoint,-,0,bot_breakPoint [value],Causes a program break to occur in the bot’s intelligence.,
bot_challenge,-,0,bot_challenge [0|1],Makes the bots slightly more challenging.,
bot_debug,C,0,bot_debug [0|1],Debugging tools for various bot subsystems. Many bot debugging features are disabled if this is not set to 1.,
bot_debugVar,-,0,bot_debugVar [0|1],???,
bot_developer,C,0,bot_developer [0|1],Enables developer mode for bots,
bot_dynamicSkill,A,0,"bot_dynamicSkill [0|1]
0 = bot skill set by skill setting
1 = bot skill set by ‘My Skill’ setting",Controls whether the bot skill changes to your skill or not.,
bot_enable,R,1,bot_enable [0|1],Enable/disable bots on your server/offline match.,
bot_fastchat,-,0,bot_fastchat [0|1],Sets bot chat to be more frequent.,
bot_followDist,-,250,bot_followDist [distance],Sets bot following distance when bot_followMe 1.,
bot_followMe,A,0,"bot_followMe [0|1]
0 = free roam
1 = follow",Make bots follow you in debug mode.,
bot_forceclustering,-,0,bot_forceclustering [0|1],Force recalculation of AAS clustering.,
bot_forcereachability,-,0,bot_forcereachability [0|1],Force recalculation of AAS reachabilities.,
bot_forcewrite,-,0,bot_forcewrite [0|1],Force writing out of a new AAS file.,
bot_gauntlet,A,0,"bot_gauntlet [0|1]
1 = gauntlet-only",Force bots to only use the gauntlet weapon.,
bot_gauntletOnly,-,0,bot_gauntletOnly [0|1],Force bots to switch to gauntlet and chase after human players.,
bot_grapple,-,0,bot_grapple [0|1],Allow bots to use grappling hook.,
bot_groundonly,-,1,bot_groundonly [0|1],Shows areas that do not work with bots in the retail version of Q3A.,
bot_hud,C,-1,"bot_hud [-1|0|1]
-1 = disabled
0 = freeze debug information
1 = debug information",Print out the bots debug info onto the players HUD. Set to the clientNum of the bot to debug.,
bot_instaGibAimSkill,-,0.4,bot_instaGibAimSkill [0.0-1.0],The aim skill of bots in instagib rails matches.,
bot_interbreedbots,C,10,bot_interbreedbots [number of bots],Sets the number of bots used for goal fuzzy logic interbreeding.,
bot_interbreedchar,C,-,bot_interbreedchar [character],Sets the bot character to be used with goal fuzzy logic interbreeding.,
bot_interbreedcycle,C,20,bot_interbreedcycle [number of matches],Sets the number of matches between interbreeding,
bot_interbreedwrite,C,-,bot_interbreedwrite [file name],Sets the file to write interbreeded goal fuzzy logic to.,
bot_itemDelayTime,-,0,???,???,
bot_log,-,0,???,???,
bot_maxdebugpolys,-,2,bot_maxdebugpolys [number],The maximum number of polygons available for visualizing things when debugging.,
